Title;Authors;Related_journal;Date
How an Incumbent Telecoms Operator Became an IoT Ecosystem Orchestrator;"Marheine Christian;Engel Christian;Back Andrea";MIS Quarterly Executive;2021
Conceptual framework for collaborative open innovation with a startup ecosystem;"Peter Lukas;Back Andrea;Werro Tina";Innovation in the Digital Economy;2019
Management von digitalen Innovationen: Hat das Innovationstrichtermodell ausgedient?;"Back Andrea;Thoma Sereina;Guggisberg Vanessa";Wirtschaftsinformatik & Management : WuM;19. Apr 18
Erfolgsfaktoren fÅr digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?;"Lîtscher Julia;Back Andrea";Wirtschaftsinformatik & Management;6 May 2020
Coworking aus Unternehmenssicht ? Out of Office into the Flow?;"Josef Barbara;Back Andrea";Arbeiten 4.0;12 July 2019
Konfrontiert mit einer Flut von Kooperationsanfragen: So meistern Sportorganisationen die systematische Analyse und Bearbeitung;"GrÅttner Arne;Braschler Thomas;Back Andrea";Wirtschaftsinformatik & Management;6 October 2020
From Data to Dollar ? Using the Wisdom of an Online Tipster Community to Improve Sports Betting Returns;"GrÅttner Arne;Wambsganss Thiemo;Back Andrea";null;2020
Practical Implications On How Established Companies Innovate With Startups: Tools and Guidelines for Innovation Managers;"Peter Lukas;Back Andrea;Werro Tina";null;2019
Innovation durch den Einsatz von EnterpriseIoT-Lîsungen: Ein Modell zur Bestimmung desInnovationspotenzials;"Marheine Christian;Gruber Lukas;Back Andrea";HMD Praxis der Wirtschaftsinformatik;04. Nov 19
Evaluating the Role of Trust in Adoption: A Conceptual Replication in the Context of Open Source Systems;"Silic Mario;Barlow Jordan;Back Andrea";AIS Transactions on Replication Research;1 March 2018
Open Source Software Adoption: Lessons from Linux in Munich;"Silic Mario;Back Andrea";IT Professional;2 February 2017
The dark side of social networking sites : Understanding phishing risks;"Silic Mario;Back Andrea";Computers in Human Behavior;1 July 2016
The Influence of Risk Factors in Decision-Making Process for Open Source Software Adoption;"Silic Mario;Back Andrea";International Journal of Information Technology and Decision Making;January 2016
Factors driving unified communications and collaboration adoption and use in organizations;"Silic Mario;Back Andrea";Measuring Business Excellence;23 February 2016
Gestaltungsbereiche der Digitalen Transformation von Unternehmen: Entwicklung eines Reifegradmodells;"Berghaus Sabine;Back Andrea";Die Unternehmung;June 2016
What are the Keys to a Successful Mobile Payment System? Case of Cytizi: Mobile Payment System;"Silic Mario;Back Andrea";Journal of Global Information Management;22. Aug 16
A new perspective on neutralization and deterrence: Predicting shadow IT usage;"Silic Mario;Barlow Jordan B.;Back Andrea";Information & management;1 December 2017
Taxonomy of technological risks of open source software in the enterprise adoption context;"Silic Mario;Back Andrea;Silic Dario";Information & Computer Security;15 October 2015
Email: from hero to zero - the beginning of the end?;"Silic Mario;Back Andrea;Silic Dario";Journal of Information Technology Teaching Cases;01. Nov 15
Mediennutzung in der Projektkommunikation von Studierenden - Analyse dreier Praxisprojekte unter besonderer BerÅcksichtigung der Kollaborationsplattform MavenLink;"Rennhard Yannick;Back Andrea";InterdisziplinÑre Zeitschrift fÅr Technologie und Lernen : iTeL;30. Sep 14
Classifying systemic differences between Software as a Service- and On-Premise-Enterprise Resource Planning;"Link Bjîrn;Back Andrea";Journal of Enterprise Information Management;13 October 2015
Balancing Innovation and Operations: Opportunities and Challenges of Second Generation Enterprise Mobility;"Berghaus Sabine;Sammer Thomas;BrechbÅhl Hans;Back Andrea";The journal of management systems;14 October 2014
Shadow IT - A view from behind the curtain;"Silic Mario;Back Andrea";Computers & Security;01. Sep 14
Information security: Critical review and future directions for research;"Silic Mario;Back Andrea";Information Management & Computer Security;13 June 2014
Critical Factors Influencing Diffusion of Interactivity Innovations on Corporate Websites;"Zollet Roman;Back Andrea";IEEE Transactions on Professional Communication;11 May 2015
Editorial: Erste Ausgabe von iTeL;"Back Andrea;Reinmann Gabi;Baumgartner Peter";InterdisziplinÑre Zeitschrift fÅr Technologie und Lernen (iTeL);2014
Employee Acceptance and Use of Unified Communications and Collaboration in a Cross-Cultural Environment;"Silic Mario;Back Andrea;Sammer Thomas";International Journal of e-Collaboration;2014
Systemic Differences between SaaS- and On-Premise-ERP : An Overview of a Qualitative Option Calculation Scheme;"Link Bjîrn;Back Andrea";AIS Transactions on Enterprise Systems;1 October 2013
Broadening Participation in Knowledge Management in Enterprise 2.0;"Back Andrea;Koch Michael";Information Technology : it;1 May 2011
Stille Revolution im Workplace Learning;Back Andrea;"HR Today Special ""Personal Swiss 2011""";01. Apr 11
Implementing a Classification Scheme for Enterprise 2.0;"Back Andrea;Irmler Peter";Information Technology : it;1 October 2012
Factors impacting information governance in the mobile device dual-use context;"Silic Mario;Back Andrea";Records Management Journal;29. Aug 13
Unternehmens-Wikis - wie ging das frÅher ohne?;Back Andrea;IT-Business;1 March 2012
NutzerprÑferenzen fÅr Funktionen mobiler Lernanwendungen in der betrieblichen Bildung;"Back Andrea;Henestrosa Alexandra";Zeitschrift fÅr E-Learning : Lernkultur und Bildungstechnologie;2012
